id;street_address;postal_code;city;state_province
1;ha which;what instead merrily;Albuquerque do Norte;purloin
2;ah generously speedily;until what;Sarah do Descoberto;scrambled angle
3;over woefully rigidly;dress anxiously;Batista de Nossa Senhora;apud
4;hurdle;utterly hype droopy;Silva do Descoberto;nor
5;ecology slim;secularize fluid;Saraiva de Nossa Senhora;buzzing
6;unfortunately coevolution plug;muddy merit conspire;Melissa do Sul;dhow save bubbly
7;converge;fantasy television times;Feliciano do Norte;velvet
8;canonize;makeup before tensely;Emanuelly de Nossa Senhora;rigidly
9;oddly ceiling;lacquerware geez er;Batista de Nossa Senhora;tomorrow
10;and;rotation;Moraes do Norte;yuck behind before
